Date,Time,Type,Confidence,Risk
2026-07-30,08:47:20,Smoke,91.0%,HIGH
2026-07-30,08:47:53,Fire,79.1%,LOW
2026-07-30,09:31:32,Fire,79.4%,LOW
2026-07-30,09:32:40,Smoke,91.0%,HIGH
2026-07-30,09:33:36,Fire,49.1%,LOW
2026-07-30,09:33:36,Fire,38.6%,LOW
2026-07-30,09:33:38,Fire,45.2%,LOW
2026-07-30,09:33:38,Fire,40.6%,LOW
2026-07-30,09:37:44,Smoke,73.0%,LOW
2026-07-30,09:37:45,Smoke,72.5%,LOW
2026-07-30,09:47:21,Fire,73.2%,LOW
2026-07-30,09:47:23,Fire,66.8%,LOW
2026-07-30,09:48:50,Fire,79.1%,LOW
2026-07-30,09:48:52,Fire,84.2%,MEDIUM
2026-07-30,09:50:32,Smoke,80.6%,MEDIUM
2026-07-30,09:52:09,Fire,83.0%,MEDIUM
2026-07-30,09:52:11,Fire,85.4%,MEDIUM
2026-07-30,09:53:20,Smoke,86.1%,MEDIUM
2026-07-30,09:53:21,Smoke,88.1%,MEDIUM
